Ticker,Name,Sector,Industry,Year,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,ROE,ROA,Asset_Turnover,Inventory_Days,Receivables_Days,Payables_Days,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Current_Ratio,Quick_Ratio,ROA_t+1,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Cluster,Predicted_ROA
0034.KL,MMAG Holdings Berhad,Technology,Software—Application,2023-03-31,-0.0132415586329719,-0.1487735353704844,-0.1749024201746019,-0.0257461019450368,-0.4978239509745478,-0.1233525005429891,0.7052646865597889,7.062274664131941,36.63816242403207,28.223249053716906,3.035783213012799,0.7522166213547733,-4.1768680340742765,0.6494075697066007,0.5983868883095851,0.038269992435739,0,0,0,0,0,0,0,0,1,0,3,-0.06166581
0034.KL,MMAG Holdings Berhad,Technology,Software—Application,2022-03-31,-0.0310495223758009,-0.1458310646966076,-0.0587079975763936,0.0146067569589352,-0.0599628128176947,-0.028203337121426,0.4804002569620351,9.665986262601583,28.16034375561933,26.35214549218325,1.126089283673491,0.5296528665662695,-3.834824568662336,0.8397913571294592,0.7776654938710093,-0.1233525005429891,0,0,0,0,0,0,0,0,1,0,3,-0.08604184
0034.KL,MMAG Holdings Berhad,Technology,Software—Application,2021-03-31,-0.0008003547513019,-0.1444613283297251,-0.1036647894637685,-0.0303474512263863,-0.1024663452885711,-0.0754671455011219,0.7279920780382051,4.716561786605909,43.63153184340073,14.95698372256452,0.3577609780808236,0.263493342242398,-8.149087784626655,2.0510227754125965,1.987143819082224,-0.028203337121426,0,0,0,0,0,0,0,0,1,0,3,-0.03991235
0035.KL,Hextar Capital Berhad,Technology,Communication Equipment,2024-09-30,0.2645916381222748,-0.063857275207602,-0.0307344479103805,0.2389569326748999,-0.0167158104250879,-0.0093204548155124,0.3032575969052791,37.69937912462582,296.4865841075026,57.385755348288896,0.7934543706243818,0.4424168150696495,-0.0642118076688983,1.3699562684691335,1.2911983564342338,0.0084976576969168,0,0,0,0,0,0,0,0,1,0,3,-0.0005678572
0035.KL,Hextar Capital Berhad,Technology,Communication Equipment,2022-03-31,0.206778954615413,0.0455614750754745,0.0452711582763872,0.1095384967784333,0.023524695026632,0.0217244691057732,0.4798743821207778,57.486710252764645,87.23050770704607,41.19429050500085,0.082866279129481,0.0765249419310549,415.2454938914151,9.56565020242632,8.738563723565896,-0.0093204548155124,0,0,0,0,0,0,0,0,1,0,3,0.014801685
0035.KL,Hextar Capital Berhad,Technology,Communication Equipment,2021-03-31,0.2121714883036872,0.0801538909568128,0.0386239612718655,0.0878305267964281,0.0283307133398851,0.0218937698297405,0.5668442362924712,96.38825460426408,141.22532603200366,65.40109145269282,0.2940080013721818,0.2272072514701703,202.3000772476083,2.352016121433856,1.8256674537734767,0.0217244691057732,0,0,0,0,0,0,0,0,1,0,3,0.011486639
0037.KL,RGB International Bhd.,Consumer Cyclical,Gambling,2023-12-31,0.1457350694128042,0.0791061154767885,0.0363188156394487,0.1212543612342861,0.0938507615728541,0.0582320096045528,1.6033565131265568,4.882032725295196,50.82850277234673,43.16495682087267,0.6116696334229966,0.3795254441345292,2015.818870567263,2.027220144238877,1.978073137076472,0.1350494018638883,0,0,1,0,0,0,0,0,0,0,4,0.09739913
0037.KL,RGB International Bhd.,Consumer Cyclical,Gambling,2022-12-31,0.189828823877402,0.0605147510732538,0.0171029540305602,0.2214974896892658,0.0180106115438475,0.0100192672735673,0.5858208620373154,10.995163795054212,135.17731160972264,121.04648608203324,0.7975976737702929,0.4437019948392603,25.0458240211903,1.4064792135248163,1.3738407885981103,0.0582320096045528,0,0,1,0,0,0,0,0,0,0,1,0.01640106
0037.KL,RGB International Bhd.,Consumer Cyclical,Gambling,2021-12-31,0.0811111389337687,-0.0189138442202738,-0.0479098920776793,0.2090104339138803,-0.0422863060650966,-0.0269276791868936,0.5620484208821461,6.750967346460029,181.27862986179207,153.94120138789015,0.5703657850201339,0.3632056877836402,-8.333430753935543,1.2398453491452088,1.211646179875237,0.0100192672735673,0,0,1,0,0,0,0,0,0,0,1,0.015060666
0039.KL,GFM Services Berhad,Industrials,Specialty Business Services,2023-12-31,0.4490201099653024,0.3737343523096265,0.1811771542785064,0.4247069777925256,0.1447255422985351,0.0480609669958648,0.2652705700520349,2.913586951559868,40.58879874234983,67.2317113774775,2.0112906864938283,0.6679164836243884,3.038100967309186,2.450185564855988,2.4418889432284003,0.038164604251921,0,0,0,0,0,0,1,0,0,0,0,0.03470608
